ID,States,Year,Trend,SocExp,SocExpPC,Alignment1,Alignment2,Alignment3,GDP,GDPPC,HDI,Population,Turnout,WinmargSS,Coalition at State,Coalition at Centre,AgriNDP,State Revenue,SS10,SS25,WinmargVS,Swing03,Swing05,Swing10,Swing15,Flip,ElectionYear1,ElectionYear2,StateAdmin,CentralAdmin,IMR,SexRatio,LitRate
1,Andhra Pradesh,1990,1,27.4,4.201525541,0,0,0,346.2195,53.08942503,0.427,6.52144078,70.4,36.39455782,0,1,46.3007,0.266,0,0,10.6,0,0,0,1,1,0,0,0,0,NA,NA,NA
1,Andhra Pradesh,1991,2,31.2,4.691164973,1,0,1,417.5082,62.77563601,0.43,6.6508,70.4,36.39455782,0,1,47.2292,0.307,0,0,10.6,0,0,0,1,1,0,0,0,1,NA,972,44.08
1,Andhra Pradesh,1992,3,36.6,5.423961771,1,1,1,441.8353,65.47808132,0.435,6.74783517,70.4,36.39455782,0,1,46.7253,0.34,0,0,10.6,0,0,0,1,1,0,0,0,1,NA,972.6,45.719
1,Andhra Pradesh,1993,4,39.2,5.72691637,1,1,1,578.6664,84.54015507,0.438,6.84487034,70.4,36.39455782,0,1,174.2176,0.384,0,0,10.6,0,0,0,1,1,0,1,0,1,NA,973.2,47.358
1,Andhra Pradesh,1994,5,42.7,6.151048855,1,1,0,689.2337,99.28595225,0.441,6.94190552,71,76.19047619,1,1,170.4813,0.425,0,0,16.6,0,0,0,0,1,1,1,1,1,NA,973.8,48.997
1,Andhra Pradesh,1995,6,55.1,7.827882408,0,0,0,798.5358,113.4454508,0.446,7.03894069,71,76.19047619,1,1,181.3229,0.414,0,0,16.6,0,0,0,0,1,0,0,1,1,NA,974.4,50.636
1,Andhra Pradesh,1996,7,62.8,8.800478201,1,0,1,901.4743,126.3281039,0.451,7.13597586,71,76.19047619,1,1,193.1137,0.49,0,0,16.6,0,0,0,0,1,0,0,1,2,NA,975,52.275
1,Andhra Pradesh,1997,8,67.6,9.346038561,1,1,1,957.8227,132.4237853,0.455,7.23301103,71,76.19047619,1,1,156.7805,0.713,0,0,16.6,0,0,0,0,1,0,0,1,2,63,975.6,53.914
1,Andhra Pradesh,1998,9,89.3,12.18273358,1,1,1,1149.371,156.8026952,0.459,7.3300462,71,76.19047619,1,1,199.6007,0.798,0,0,16.6,0,0,0,0,1,0,1,1,2,66,976.2,55.553
1,Andhra Pradesh,1999,10,88.3,11.88892318,1,1,1,1287.9712,173.4155227,0.465,7.42708138,69.1,34.3537415,1,1,325.2981,0.903,0,0,6.9,0,0,1,1,1,1,1,2,3,66,976.8,57.192
1,Andhra Pradesh,2000,11,100.1,13.30388748,1,1,1,1447.2302,192.3454437,0.473,7.52411655,69.1,34.3537415,1,1,370.5246,1.058,0,0,6.9,0,0,1,1,1,0,0,2,3,65,977.4,58.831
